repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
meta-llama/llama-cookbook,meta-llama,Organization,gc|st,18554,2763,195,2279,140,HamidShojanazeri|mreso|jeffxtang|init27|wukaixingxp,0,llama-cookbook,,19,600,279946,Jupyter Notebook,MIT,2023-07-17,2026-05-19,False,False,False,https://www.llama.com,ai|finetuning|langchain|llama|llama2|llm|machine-learning|python|pytorch|vllm,"Welcome to the Llama Cookbook! This is your go to guide for Building with Llama: Getting started with Inference, Fine-Tuning, RAG. We also show you how to solve end to end problems using Llama model family and using them on various provider services",ok,2026-08-14,,,,,,,,,,,
sdv-dev/SDV,sdv-dev,Organization,,3547,418,42,2281,50,amontanez24|csala|fealho|ManuelAlvarezC|pvk-developer,0,sdv,,158,1286,33923,Python,NOASSERTION,2018-05-11,2026-08-18,False,False,False,https://docs.sdv.dev/sdv,synthetic-data|machine-learning|relational-datasets|multi-table|time-series|synthetic-data-generation|sdv|data-generation|generative-adversarial-network|gan|gans|deep-learning|generative-ai|generative-model|generativeai,Synthetic data generation for tabular data,ok,2026-08-18,,,,,,,,,,,
MARKTECHPOST-AI-MEDIA-INC/AI-Agents-Projects-Tutorials,MARKTECHPOST-AI-MEDIA-INC,Organization,ct|ev|gc|md|st,2876,620,77,1108,4,Marktechpost|teammtp|mohd-arham-islam|AG2AI-Admin,0,,,5,6,73852,Jupyter Notebook,,2025-05-15,2026-08-09,False,False,False,https://marktechpost.com/,aiagents|agent-skills|agentic-ai|agentic-ai-development|agentic-coding|agentic-engineering|agentic-framework|agentic-rag|agentic-workflow|ai|aiagent,"Multi-agent systems, memory, planning, reasoning loops",ok,2026-08-14,,,,,,,,,,,
hitsz-ids/synthetic-data-generator,hitsz-ids,Organization,ct|gc,2433,391,307,281,17,MooooCat|Wh1isper|pre-commit-ci[bot]|jalr4ever|allcontributors[bot],68,sdgx,,19,197,4399,Python,Apache-2.0,2023-08-10,2026-08-10,False,False,False,,deep-learning|gan|generative-ai|machine-learning|privacy|synthetic-data|tabular-data|agent|data-generator|llm,SDG is a specialized framework designed to generate high-quality structured tabular data.,ok,2026-08-14,,,,,,,,,,,
sdv-dev/CTGAN,sdv-dev,Organization,,1559,332,21,474,24,csala|amontanez24|sdv-team|fealho|pvk-developer,0,ctgan,104388,30,270,1997,Python,NOASSERTION,2019-09-08,2026-08-10,False,False,False,,synthetic-data|generative-adversarial-network|tabular-data|data-generation|synthetic-data-generation,Conditional GAN for generating synthetic tabular data.,ok,2026-08-18,,,,,,,,,,,
OranAi-Ltd/oransim,OranAi-Ltd,User,ct,1115,143,56,147,2,ORAN-cgsj|OranAi-Ltd,0,oransim,,3,1,7595,Python,Apache-2.0,2026-04-18,2026-07-17,False,False,False,https://oran.cn,,Causal Digital Twin for Marketing at Scale · Predict any marketing decision before you spend a dollar.,ok,2026-08-14,,,,,,,,,,,
vibeforge1111/vibeship-spawner-skills,vibeforge1111,User,ct|ev|gc|md|st,875,123,8,65,1,vibeforge1111,0,,,2,14,9599,JavaScript,,2025-12-27,2026-01-02,False,False,False,,,"a skill directory for world-class specialized agents, in your terminal / IDE. more sophisticated than skills with just md files. and they're free.",ok,2026-08-14,,,,,,,,,,,
NeuralNine/youtube-tutorials,NeuralNine,User,ct|md|st,723,262,26,67,1,NeuralNine,0,,,4,1,8057,Jupyter Notebook,,2023-04-06,2026-07-04,False,False,False,,,A collection of the code I have written for my YouTube tutorials.,ok,2026-08-14,,,,,,,,,,,
sdv-dev/Copulas,sdv-dev,Organization,,650,122,19,954,46,ManuelAlvarezC|csala|amontanez24|sdv-team|JDTheRipperPC,0,copulas,172238,50,286,32762,Python,NOASSERTION,2017-11-13,2026-08-10,False,False,False,https://sdv.dev/Copulas/,machine-learning|copulas|synthetic-data|data-generation|synthetic-data-generation|generative-ai|generative-model|tabular-data,A library to model multivariate data using copulas.,ok,2026-08-18,,,,,,,,,,,
tsinghua-fib-lab/AutoSOTA,tsinghua-fib-lab,Organization,req,648,48,2,138,6,TankTechnology|SamKuler|chenzhibin|William-czb|Ericccc02,215,,,5,4,2354079,Python,MIT,2026-03-26,2026-07-28,False,False,False,https://tsinghua-fib-lab.github.io/AutoSOTA/,,,ok,2026-08-14,,,,,,,,,,,
Diyago/Tabular-data-generation,Diyago,User,ct,574,82,9,260,9,Diyago|elMaxPain|deepsource-autofix[bot]|dayyass|dependabot[bot],0,tabgan,,0,38,55614,Python,Apache-2.0,2020-03-21,2026-03-29,False,False,False,https://towardsdatascience.com/review-of-gans-for-tabular-data-a30a2199342,tabular-data|gans|train-dataframe|adversarial-filtering|deep-learning|feature-engineering|gan|machine-learning|python,"We well know GANs for success in the realistic image generation. However, they can be applied in tabular data generation. We will review and examine some recent papers about tabular GANs in action.",ok,2026-08-14,,,,,,,,,,,
FerroxLabs/wayland,FerroxLabs,User,ct|gc|md|st,573,108,4,846,13,TheRealSeanDonahoe|FerroxLabs|ci-test|sazora|Steve Bot,15853,,,143,325,646434,TypeScript,AGPL-3.0,2026-06-05,2026-08-14,False,False,False,,,Wayland - The AI Agent That Perceives. Reasons. Acts. Evolves.,ok,2026-08-14,,,,,,,,,,,
yandex-research/tab-ddpm,yandex-research,Organization,ct|rdt,563,139,5,8,3,rototo|rotot0|erjanmx,0,,,20,6,187,Python,MIT,2022-10-02,2024-07-13,False,False,False,https://arxiv.org/abs/2209.15421,deep-learning|diffusion-models|pytorch|tabular|ai|synthetic-data,"[ICML 2023] The official implementation of the paper ""TabDDPM: Modelling Tabular Data with Diffusion Models""",ok,2026-08-14,,,,,,,,,,,
