sdv_id,duplicate_sdv_ids,kind,title,year,source_channel,github_repo_id,github_repo,github_repo_url,author_position,author_role,account_type,author_identity_key,identity_status,public_name_raw,public_name,name_source_status,name_normalization_status,name_normalization_note,author_orcid,author_openalex_id,github_user_id,github_login,author_profile_url,affiliation_position,affiliation_raw,affiliation,affiliation_unit,affiliation_source_status,affiliation_normalization_status,affiliation_country,affiliation_country_code,affiliation_type,affiliation_ror_id,raw_affiliation_strings,unmapped_publication_affiliations,landing_page_url,full_text_url,download_url,download_format,download_status,metadata_source,metadata_match_status,name_evidence_urls,affiliation_evidence_urls,download_evidence_urls,evidence_locator,checked_at
announce-10-million-downloads,[],announcement,The SDV Community reaches 10 million downloads,2025,datacebo_announcements,,,,1,byline,person,publication:announce-10-million-downloads:1:kalyan veeramachaneni,publication_scoped_name,Kalyan Veeramachaneni,Kalyan Veeramachaneni,official_page_byline,unchanged,,,,,,,,,,,unresolved,unresolved,,,,,[],"[null, null]",https://datacebo.com/announcements/sdv-reaches-10-million-downloads/,https://datacebo.com/announcements/sdv-reaches-10-million-downloads/,https://datacebo.com/announcements/sdv-reaches-10-million-downloads/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/announcements/sdv-reaches-10-million-downloads/""]","[""https://datacebo.com/announcements/sdv-reaches-10-million-downloads/""]","[""https://datacebo.com/announcements/sdv-reaches-10-million-downloads/""]",page JSON-LD and official author profile,2026-08-16
announce-10-million-downloads,[],announcement,The SDV Community reaches 10 million downloads,2025,datacebo_announcements,,,,2,index_author,person,publication:announce-10-million-downloads:2:neha patki,publication_scoped_name,Neha Patki,Neha Patki,index_stated,unchanged,,,,,,,,,,,unresolved,unresolved,,,,,[],"[null, null]",https://datacebo.com/announcements/sdv-reaches-10-million-downloads/,https://datacebo.com/announcements/sdv-reaches-10-million-downloads/,https://datacebo.com/announcements/sdv-reaches-10-million-downloads/,html,direct_html_confirmed,SDVworld index + official page,index_additional_author,"[""https://datacebo.com/announcements/sdv-reaches-10-million-downloads/""]","[""https://datacebo.com/announcements/sdv-reaches-10-million-downloads/""]","[""https://datacebo.com/announcements/sdv-reaches-10-million-downloads/""]",,2026-08-16
announce-ai-connectors,[],announcement,Introducing AI Connectors,2025,datacebo_site,,,,1,organization_byline,organization,organization:datacebo inc,organization_byline,DataCebo Team,"DataCebo, Inc.",official_page_byline,organization_canonicalized,replaced the team byline with the official publisher name,,,,,,1,"DataCebo, Inc.","DataCebo, Inc.",,publication_level_shared_unconfirmed,metadata_canonical_name,,,,,[],[],https://datacebo.com/announcements/introducing-ai-connectors/,https://datacebo.com/announcements/introducing-ai-connectors/,https://datacebo.com/announcements/introducing-ai-connectors/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/announcements/introducing-ai-connectors/""]","[""https://datacebo.com/announcements/introducing-ai-connectors/""]","[""https://datacebo.com/announcements/introducing-ai-connectors/""]",page JSON-LD and official author profile,2026-08-16
announce-cag,[],announcement,Introducing Constraint-Augmented Generation (CAG),2024,datacebo_site,,,,1,byline,person,publication:announce-cag:1:neha patki,publication_scoped_name,Neha Patki,Neha Patki,official_page_byline,unchanged,,,,,,,,,,,unresolved,unresolved,,,,,[],[null],https://datacebo.com/announcements/introducing-cag/,https://datacebo.com/announcements/introducing-cag/,https://datacebo.com/announcements/introducing-cag/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/announcements/introducing-cag/""]","[""https://datacebo.com/announcements/introducing-cag/""]","[""https://datacebo.com/announcements/introducing-cag/""]",page JSON-LD and official author profile,2026-08-16
announce-dp-synthesizers,[],announcement,Launching differentially private synthesizers in SDV,2025,datacebo_site,,,,,unattributed,unknown,publication:announce-dp-synthesizers:unattributed,unattributed,,,unattributed,unresolved,,,,,,,,,,,unresolved,unresolved,,,,,[],[],https://datacebo.com/announcements/launching-differentially-private-synthesizers-in-sdv/,https://datacebo.com/announcements/launching-differentially-private-synthesizers-in-sdv/,https://datacebo.com/announcements/launching-differentially-private-synthesizers-in-sdv/,html,direct_html_confirmed,SDVworld index,ok,"[""https://datacebo.com/announcements/launching-differentially-private-synthesizers-in-sdv/""]","[""https://datacebo.com/announcements/launching-differentially-private-synthesizers-in-sdv/""]","[""https://datacebo.com/announcements/launching-differentially-private-synthesizers-in-sdv/""]",,2026-08-16
blog-2021-year-review,[],blog_post,The SDV in 2021: A year in review,2022,datacebo_blog,,,,1,byline,person,profile:https://datacebo.com/blog/authors/kalyan/,source_profile,Kalyan Veeramachaneni,Kalyan Veeramachaneni,official_page_byline,unchanged,,,,,,https://datacebo.com/blog/authors/kalyan/,,,,,unresolved,unresolved,,,,,[],[null],https://datacebo.com/blog/2021-year-review/,https://datacebo.com/blog/2021-year-review/,https://datacebo.com/blog/2021-year-review/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/blog/2021-year-review/"", ""https://datacebo.com/blog/authors/kalyan/""]","[""https://datacebo.com/blog/2021-year-review/"", ""https://datacebo.com/blog/authors/kalyan/"", ""https://datacebo.com/""]","[""https://datacebo.com/blog/2021-year-review/""]",page JSON-LD and official author profile,2026-08-16
blog-2022-year-review,[],blog_post,The SDV in 2022: Never a Dull Moment,2023,datacebo_blog,,,,1,organization_byline,organization,profile:https://datacebo.com/blog/authors/datacebo/,source_profile,DataCebo Team,"DataCebo, Inc.",official_page_byline,organization_canonicalized,replaced the team byline with the official publisher name,,,,,https://datacebo.com/blog/authors/datacebo/,1,"DataCebo, Inc.","DataCebo, Inc.",,publication_level_shared_unconfirmed,metadata_canonical_name,,,,,[],[],https://datacebo.com/blog/2022-never-a-dull-moment/,https://datacebo.com/blog/2022-never-a-dull-moment/,https://datacebo.com/blog/2022-never-a-dull-moment/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/blog/2022-never-a-dull-moment/"", ""https://datacebo.com/blog/authors/datacebo/""]","[""https://datacebo.com/blog/2022-never-a-dull-moment/"", ""https://datacebo.com/blog/authors/datacebo/"", ""https://datacebo.com/""]","[""https://datacebo.com/blog/2022-never-a-dull-moment/""]",page JSON-LD and official author profile,2026-08-16
blog-2024-year-review,[],blog_post,Synthetic Data in 2024: The Year In Review,2024,datacebo_blog,,,,1,organization_byline,organization,profile:https://datacebo.com/blog/authors/datacebo/,source_profile,DataCebo Team,"DataCebo, Inc.",official_page_byline,organization_canonicalized,replaced the team byline with the official publisher name,,,,,https://datacebo.com/blog/authors/datacebo/,1,"DataCebo, Inc.","DataCebo, Inc.",,publication_level_shared_unconfirmed,metadata_canonical_name,,,,,[],[],https://datacebo.com/blog/synthetic-data-in-2024-the-year-in-review/,https://datacebo.com/blog/synthetic-data-in-2024-the-year-in-review/,https://datacebo.com/blog/synthetic-data-in-2024-the-year-in-review/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/blog/synthetic-data-in-2024-the-year-in-review/"", ""https://datacebo.com/blog/authors/datacebo/""]","[""https://datacebo.com/blog/synthetic-data-in-2024-the-year-in-review/"", ""https://datacebo.com/blog/authors/datacebo/"", ""https://datacebo.com/""]","[""https://datacebo.com/blog/synthetic-data-in-2024-the-year-in-review/""]",page JSON-LD and official author profile,2026-08-16
blog-7-signs-privacy-violations,[],blog_post,7 signs a synthetic data software violates privacy,2025,datacebo_blog,,,,1,byline,person,profile:https://datacebo.com/blog/authors/neha/,source_profile,Neha Patki,Neha Patki,official_page_byline,unchanged,,,,,,https://datacebo.com/blog/authors/neha/,1,DataCebo,"DataCebo, Inc.",,official_author_profile_stated,official_source_confirmed,United States,,company,,[],[],https://datacebo.com/blog/7-signs-privacy-violations/,https://datacebo.com/blog/7-signs-privacy-violations/,https://datacebo.com/blog/7-signs-privacy-violations/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/blog/7-signs-privacy-violations/"", ""https://datacebo.com/blog/authors/neha/""]","[""https://datacebo.com/blog/7-signs-privacy-violations/"", ""https://datacebo.com/blog/authors/neha/"", ""https://datacebo.com/"", ""https://datacebo.com/privacy-policy/""]","[""https://datacebo.com/blog/7-signs-privacy-violations/""]",page JSON-LD and official author profile,2026-08-16
blog-building-unique-combinations,[],blog_post,Building the Unique Combinations Constraint in the SDV,2022,datacebo_blog,,,,1,byline,person,profile:https://datacebo.com/blog/authors/neha/,source_profile,Neha Patki,Neha Patki,official_page_byline,unchanged,,,,,,https://datacebo.com/blog/authors/neha/,1,DataCebo,"DataCebo, Inc.",,official_author_profile_stated,official_source_confirmed,United States,,company,,[],[],https://datacebo.com/blog/building-unique-combinations/,https://datacebo.com/blog/building-unique-combinations/,https://datacebo.com/blog/building-unique-combinations/,html,direct_html_confirmed,official_page_json_ld,ok,"[""https://datacebo.com/blog/building-unique-combinations/"", ""https://datacebo.com/blog/authors/neha/""]","[""https://datacebo.com/blog/building-unique-combinations/"", ""https://datacebo.com/blog/authors/neha/"", ""https://datacebo.com/"", ""https://datacebo.com/privacy-policy/""]","[""https://datacebo.com/blog/building-unique-combinations/""]",page JSON-LD and official author profile,2026-08-16
