batch,openalex_id,title,authors,year,venue,type,cited_by_count,doi,url_landing,url_pdf,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,code_url,confidence,needs,source_url
1,W3202428668,Deep Neural Networks and Tabular Data: A Survey,Vadim Borisov; Tobias Leemann; Kathrin Seßler; Johannes Haug; Martin Pawelczyk; Gjergji Kasneci,2022,IEEE Transactions on Neural Networks and Learning Systems,article,940,10.1109/tnnls.2022.3229161,https://doi.org/10.1109/tnnls.2022.3229161,,,,,,,,,,,,,
1,W2979417040,A Survey on Data Collection for Machine Learning: A Big Data - AI Integration Perspective,Yuji Roh; Geon Heo; Steven Euijong Whang,2019,IEEE Transactions on Knowledge and Data Engineering,article,893,10.1109/tkde.2019.2946162,https://doi.org/10.1109/tkde.2019.2946162,,,,,,,,,,,,,
1,W4232929704,Artificial Intelligence in Society,OECD,2019,,book,460,10.1787/eedfee77-en,https://doi.org/10.1787/eedfee77-en,,,,,,,,,,,,,
1,W4402892487,A Comprehensive Review on Generative AI for Education,Uday Mittal; Siva Sai; Vinay Chamola; Devika,2024,IEEE Access,article,305,10.1109/access.2024.3468368,https://doi.org/10.1109/access.2024.3468368,,,,,,,,,,,,,
1,W4308467154,Human-centric artificial intelligence architecture for industry 5.0 applications,Jože M. Rožanec; Inna Novalija; Patrik Zajec; Klemen Kenda; Hooman Tavakoli Ghinani; Sungho Suh; Sizhen Bian; Entso Veliou; Dimitrios Papamartzivanos; Thanassis Giannetsos; Sofia Anna Menesidou; Rubén Alonso; et al.,2022,International Journal of Production Research,article,290,10.1080/00207543.2022.2138611,https://doi.org/10.1080/00207543.2022.2138611,,,,,,,,,,,,,
1,W3103102495,Generating high-fidelity synthetic patient data for assessing machine learning healthcare software,Allan Tucker; Zhenchen Wang; Ylenia Rotalinti; Puja Myles,2020,npj Digital Medicine,article,233,10.1038/s41746-020-00353-9,https://doi.org/10.1038/s41746-020-00353-9,https://www.nature.com/articles/s41746-020-00353-9.pdf,,,,,,,,,,,,
1,W4402230126,A Systematic Review of Synthetic Data Generation Techniques Using Generative AI,Mandeep Goyal; Qusay H. Mahmoud,2024,Electronics,review,216,10.3390/electronics13173509,https://doi.org/10.3390/electronics13173509,https://www.mdpi.com/2079-9292/13/17/3509/pdf?version=1725441340,,,,,,,,,,,,
1,W3107668265,SynSigGAN: Generative Adversarial Networks for Synthetic Biomedical Signal Generation,Debapriya Hazra; Yung-Cheol Byun,2020,Biology,article,179,10.3390/biology9120441,https://doi.org/10.3390/biology9120441,https://www.mdpi.com/2079-7737/9/12/441/pdf?version=1607152338,,,,,,,,,,,,
1,W3204818612,Generating synthetic data in finance,Samuel Assefa; Danial Dervovic; Mahmoud Mahfouz; Robert E. Tillman; Prashant Reddy; Manuela Veloso,2020,,conference-paper,177,10.1145/3383455.3422554,https://doi.org/10.1145/3383455.3422554,,,,,,,,,,,,,
1,W3015471667,Generation and evaluation of privacy preserving synthetic health data,Andrew Yale; Saloni Dash; Ritik Dutta; Isabelle Guyon; Adrien Pavão; Kristin P. Bennett,2020,Neurocomputing,article,172,10.1016/j.neucom.2019.12.136,https://doi.org/10.1016/j.neucom.2019.12.136,,,,,,,,,,,,,
